MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Filename,QuasarProbability
b'SDSS J082207.76+034040.3',08 22 07.762,+03 40 40.39,7.0,7.0,83.0,75.0,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_0.jpg,0.0020540691912174225
b'4C 07.25',08 30 05.3,+07 45 46,5.0,5.0,,,0.0,D,,b'',./Images/QuasarCandidate_1.jpg,0.0007893621805123985
b'SDSS J082847.31+090335.2',08 28 47.312,+09 03 35.22,7.0,7.0,74.0,69.0,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_2.jpg,0.0063722990453243256
b'NVSS J081429+090749',08 14 29.085,+09 07 48.52,7.0,7.0,159.0,121.0,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_3.jpg,0.0002827706921380013
b'2MASS J08221083+0743435',08 22 10.830,+07 43 43.59,7.0,7.0,170.0,100.0,90.0,B,N,b'2003yCat.2246....0C',./Images/QuasarCandidate_4.jpg,0.7891634106636047
b'SDSS J082327.04+084057.1',08 23 27.043,+08 40 57.11,7.0,7.0,10.0,10.0,90.0,C,O,b'2013yCat.5139....0A',./Images/QuasarCandidate_5.jpg,0.7861776351928711
b'SDSS J081348.23+152940.2',08 13 48.231,+15 29 40.28,7.0,7.0,10.0,10.0,90.0,C,O,b'2012ApJS..203...21A',./Images/QuasarCandidate_6.jpg,0.47270917892456055
b'USNO-A2.0 0975-05850389',08 20 54.058,+14 31 26.69,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_7.jpg,3.2525117603654508e-06
b'USNO-A2.0 1050-05647744',08 15 40.702,+15 38 11.00,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_8.jpg,6.287476139732462e-08
b'GALEX 2694359866762332666',08 17 08.826,+15 11 06.78,7.0,7.0,47.0,46.0,97.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_9.jpg,0.9393404722213745
b'SDSS J081417.19+140532.5',08 14 17.193,+14 05 32.52,7.0,7.0,21.0,21.0,0.0,C,O,b'2012ApJS..203...21A',./Images/QuasarCandidate_10.jpg,0.5142104029655457
b'GALEX 2694359866762332143',08 19 04.768,+15 04 21.59,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P',./Images/QuasarCandidate_11.jpg,0.9078969359397888
b'2MASS J08210481+1423308',08 21 04.82,+14 23 30.9,6.0,6.0,180.0,160.0,82.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_12.jpg,0.9363308548927307
b'USNO-A2.0 1050-05628518',08 13 07.286,+15 36 36.65,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_13.jpg,1.4886317956097628e-08
b'USNO-A2.0 1050-05646217',08 15 28.414,+15 16 52.57,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_14.jpg,1.1176534826518036e-05
b'USNO-A2.0 0975-05818358',08 17 20.573,+14 49 13.51,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_15.jpg,7.452317873912762e-09
b'GALEX 2694359866762333469',08 16 32.660,+15 20 08.22,7.0,7.0,44.0,44.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_16.jpg,0.9242830276489258
b'USNO-A2.0 1050-05643435',08 15 06.252,+15 29 39.43,7.0,7.0,43.0,40.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_17.jpg,0.907776951789856
b'USNO-A2.0 0975-05811920',08 16 38.148,+14 34 40.69,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_18.jpg,2.2525818016427834e-14
b'GALEX 2694359866762334591',08 17 43.974,+15 35 42.48,7.0,7.0,45.0,44.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_19.jpg,0.9506627321243286
b'SDSS J081634.40+144612.9',08 16 34.389,+14 46 12.47,7.0,7.0,6.0,6.0,90.0,C,O,b'2011yCat.2306....0A',./Images/QuasarCandidate_20.jpg,0.6461039185523987
