MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE
b'SDSS J082207.76+034040.3',08 22 07.762,+03 40 40.39,7.0,7.0,83.0,75.0,0.0,C,O,b'2009yCat.2294....0A'
b'4C 07.25',08 30 05.3,+07 45 46,5.0,5.0,,,0.0,D,,b''
b'SDSS J082847.31+090335.2',08 28 47.312,+09 03 35.22,7.0,7.0,74.0,69.0,0.0,C,O,b'2009yCat.2294....0A'
b'NVSS J081429+090749',08 14 29.085,+09 07 48.52,7.0,7.0,159.0,121.0,0.0,C,O,b'2009yCat.2294....0A'
b'2MASS J08221083+0743435',08 22 10.830,+07 43 43.59,7.0,7.0,170.0,100.0,90.0,B,N,b'2003yCat.2246....0C'
b'SDSS J082327.04+084057.1',08 23 27.043,+08 40 57.11,7.0,7.0,10.0,10.0,90.0,C,O,b'2013yCat.5139....0A'
b'SDSS J081348.23+152940.2',08 13 48.231,+15 29 40.28,7.0,7.0,10.0,10.0,90.0,C,O,b'2012ApJS..203...21A'
b'USNO-A2.0 0975-05850389',08 20 54.058,+14 31 26.69,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-05647744',08 15 40.702,+15 38 11.00,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694359866762332666',08 17 08.826,+15 11 06.78,7.0,7.0,47.0,46.0,97.0,C,O,b'2009yCat.2294....0A'
b'SDSS J081417.19+140532.5',08 14 17.193,+14 05 32.52,7.0,7.0,21.0,21.0,0.0,C,O,b'2012ApJS..203...21A'
b'GALEX 2694359866762332143',08 19 04.768,+15 04 21.59,7.0,7.0,,,0.0,C,O,b'2014A&A...563A..54P'
b'2MASS J08210481+1423308',08 21 04.82,+14 23 30.9,6.0,6.0,180.0,160.0,82.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 1050-05628518',08 13 07.286,+15 36 36.65,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-05646217',08 15 28.414,+15 16 52.57,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-05818358',08 17 20.573,+14 49 13.51,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694359866762333469',08 16 32.660,+15 20 08.22,7.0,7.0,44.0,44.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 1050-05643435',08 15 06.252,+15 29 39.43,7.0,7.0,43.0,40.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 0975-05811920',08 16 38.148,+14 34 40.69,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694359866762334591',08 17 43.974,+15 35 42.48,7.0,7.0,45.0,44.0,90.0,C,O,b'2009yCat.2294....0A'
b'SDSS J081634.40+144612.9',08 16 34.389,+14 46 12.47,7.0,7.0,6.0,6.0,90.0,C,O,b'2011yCat.2306....0A'
b'USNO-A2.0 0975-05828446',08 18 29.654,+14 31 04.84,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694359858172398981',08 21 31.309,+14 24 54.09,7.0,7.0,48.0,47.0,0.0,C,O,b'2009yCat.2294....0A'
b'2MASS J08230044+1347282',08 23 00.441,+13 47 28.23,7.0,7.0,220.0,210.0,178.0,B,I,b'2003yCat.2246....0C'
b'USNO-A2.0 0975-05823256',08 17 54.360,+13 49 16.72,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694359866762335093',08 18 20.001,+15 44 52.58,7.0,7.0,51.0,49.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2694359862467366166',08 15 22.236,+14 32 06.68,7.0,7.0,46.0,44.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 0975-05842997',08 20 05.369,+14 25 10.96,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694359875352266659',08 12 30.072,+16 11 59.09,7.0,7.0,46.0,45.0,90.0,C,O,b'2009yCat.2294....0A'
b'GALEX 2694359862467367611',08 14 42.888,+14 54 09.69,7.0,7.0,50.0,43.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 0975-05842092',08 19 59.594,+13 40 19.67,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-05853557',08 21 17.162,+13 49 08.62,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694359858172400180',08 17 48.832,+14 41 15.05,7.0,7.0,44.0,43.0,90.0,C,O,b'2009yCat.2294....0A'
b'USNO-A2.0 0975-05849370',08 20 46.879,+14 24 58.75,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 0975-05850991',08 20 58.406,+14 19 04.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'GALEX 2694359858172395936',08 19 19.582,+13 45 24.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'USNO-A2.0 1050-05659552',08 17 14.899,+15 41 05.60,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A'
b'SDSS J082442.21+220834.6',08 24 42.225,+22 08 34.71,7.0,7.0,87.0,81.0,0.0,C,O,b'2009yCat.2294....0A'
b'SDSS J081541.16+194426.2',08 15 41.160,+19 44 26.21,7.0,7.0,44.0,43.0,0.0,C,O,b'2012ApJS..203...21A'
b'2MASS J08152527+2101408',08 15 25.272,+21 01 40.81,7.0,7.0,180.0,150.0,95.0,B,I,b'2003yCat.2246....0C'
